Major,pchisq
A,Yes
A,Yes
A,Yes
A,Yes
A,Yes
A,Yes
A,Yes
A,Yes
A,Yes
A,Yes
A,Yes
A,Yes
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
A,No
B,Yes
B,Yes
B,Yes
B,No
B,No
B,No
B,No
B,No
B,No
B,No
B,No
B,No
B,No
B,No
B,No
B,No
B,No
B,No
Other,Yes
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
Other,No
